year,weeknum,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_recovered,total_recovered,new_death,total_death,case_foreign,case_prison,case_walkin,case_new_prev,case_new_diff,death_new_prev,death_new_diff
2022,1,34593,2261039,33067,2251267,19453,2191262,105,21813,1526,319,31802,29341,5252,101,4
2022,2,55369,2316408,53168,2304435,25862,2217124,103,21916,2201,371,52134,55839,-470,99,4
2022,3,53406,2369814,51992,2356427,47440,2264564,103,22019,1414,271,51306,53087,319,102,1
2022,4,54276,2424090,52935,2409362,53442,2318006,126,22145,1341,408,52264,53770,506,126,0
2022,5,62032,2486122,60611,2469973,57382,2375388,126,22271,1421,312,60021,60160,1872,124,2
2022,6,91323,2577445,90060,2560033,61152,2436540,141,22412,1263,411,88971,85483,5840,137,4
2022,7,115917,2693362,114556,2674589,76729,2513269,182,22594,1361,816,112840,113362,2555,178,4
2022,8,151535,2844897,150334,2824923,107735,2621004,255,22849,1201,812,148519,144805,6730,244,11
2022,9,159917,3004814,158908,2983831,128487,2749491,327,23176,1009,812,156366,162714,-2797,315,12
2022,10,156427,3161241,155854,3139685,161956,2911447,467,23643,573,707,153494,154653,1774,451,16
2022,11,167732,3328973,167424,3307109,155845,3067292,519,24162,308,592,165263,166520,1212,500,19
2022,12,174291,3503264,173998,3481107,160992,3228284,553,24715,293,537,172375,173861,430,573,-20
2022,13,181491,3684755,181131,3662238,175358,3403642,603,25318,360,410,179161,179696,1795,574,29
2022,14,173591,3858346,173066,3835304,177278,3580920,657,25975,525,305,171079,176322,-2731,655,2
2022,15,153838,4012184,153262,3988566,183058,3763978,779,26754,576,369,151670,160244,-6406,752,27
2022,16,135906,4148090,135315,4123881,168121,3932099,895,27649,591,367,134602,134746,1160,891,4
2022,17,102859,4250949,102355,4226236,138757,4070856,877,28526,504,196,101825,110023,-7164,880,-3
2022,18,65820,4316769,65618,4291854,123039,4193895,508,29034,202,157,65262,70258,-4438,576,-68
2022,19,50983,4367752,50961,4342815,71103,4264998,387,29421,22,167,50626,52697,-1714,391,-4
2022,20,39003,4406755,38990,4381805,53567,4318565,294,29715,13,84,38810,40362,-1359,311,-17
2022,21,32244,4438999,32232,4414037,43752,4362317,233,29948,12,45,32112,33133,-889,232,1
2022,22,24558,4463557,24550,4438587,37041,4399358,195,30143,8,50,24474,26045,-1487,203,-8
2022,23,18832,4482389,18827,4457414,28605,4427963,171,30314,5,13,18813,19332,-500,173,-2
2022,24,14763,4497152,14741,4472155,17429,4445392,131,30445,22,35,14706,14992,-229,136,-5
2022,25,14625,4511777,14603,4486758,13024,4458416,130,30575,22,9,14594,14661,-36,137,-7
2022,26,16000,4527777,15984,4502742,13957,4472373,106,30681,16,0,15984,15728,272,105,1
2022,27,15262,4543039,15246,4517988,15119,4487492,132,30813,16,29,15217,15686,-424,134,-2
2022,28,13962,4557001,13958,4531946,14664,4502156,165,30978,4,21,13937,14021,-59,160,5
2022,29,16462,4573463,16458,4548404,15480,4517636,149,31127,4,22,16436,15909,553,140,9
2022,30,15049,4588512,15047,4563451,15194,4532830,232,31359,2,49,14998,15665,-616,229,3
2022,31,14847,4603359,14844,4578295,17718,4550548,202,31561,3,36,14808,14428,419,199,3
2022,32,15293,4618652,15290,4593585,14515,4565063,237,31798,3,54,15236,15534,-241,237,0
2022,33,13560,4632212,13558,4607143,15214,4580277,202,32000,2,58,13500,13798,-238,208,-6
2022,34,12431,4644643,12429,4619572,14054,4594331,195,32195,2,62,12367,12702,-271,195,0
2022,35,12268,4656911,12265,4631837,13482,4607813,180,32375,3,10,12255,11957,311,186,-6
2022,36,9542,4666453,9542,4641379,12327,4620140,145,32520,0,0,9542,10378,-836,151,-6
2022,37,6457,4672910,6456,4647835,10225,4630365,97,32617,1,4,6452,6799,-342,100,-3
2022,38,4787,4677697,4787,4652622,6543,4636908,89,32706,0,1,4786,4944,-157,89,0
2022,39,4435,4682132,4435,4657057,5986,4642894,65,32771,0,0,4435,4219,216,72,-7
2022,40,2915,4685047,2915,4659972,4381,4647275,58,32829,0,0,2915,3328,-413,57,1
2022,41,2234,4687281,2234,4662206,0,4647275,53,32882,0,1,2233,2474,-240,61,-8
2022,42,2616,4689897,2616,4664822,0,4647275,40,32922,0,0,2616,2292,324,40,0
2022,43,2551,4692448,2551,4667373,0,4647275,33,32955,0,0,2548,2574,-23,28,5
